metric,n_obs,beta_metric,t_metric,p_metric,delta_interaction,t_delta,p_delta,gamma_status,t_gamma,p_gamma,r2,llf,aic,bic,oos_n_obs,oos_rmse,oos_mae,abs_t_metric,sig_bin,beta_sig,delta_sig,perspective,outcome,sig_group,sig_label
seq_event_num,866708,0.007291282127156168,7.313957058312317,2.593880671200263e-13,-0.0018384699019870442,-0.9352913693869178,0.3496381618944221,0.008217326958790473,1.169080116672222,0.2423713540366642,0.004741933334544646,659402.215261715,-1318796.43052343,-1318749.740693808,198586,0.10858186737672279,0.08116995950163292,7.313957058312317,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,xT,A,"Very strong (p<=0.001, |t|>=3.29)"
seq_duration,866708,0.007178591954038087,7.168895960531312,7.560498350965542e-13,-0.0018190222394192487,-0.8616426619762418,0.38888418697192806,0.008241526813798302,1.1714232368447397,0.24142869658238364,0.004059598868602632,659105.2158550667,-1318202.4317101333,-1318155.7418805114,198586,0.1086130640889419,0.081222907596481,7.168895960531312,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,xT,A,"Very strong (p<=0.001, |t|>=3.29)"
shot_offpost_att,874329,-0.0767238995608277,-5.416199125658065,6.087929898714192e-08,-0.03988213842239127,-0.7326811511406713,0.4637529227864017,0.007241547403917984,1.140607209646344,0.254033415678242,0.0003502316192217636,663979.8396735834,-1327951.6793471668,-1327904.9544991108,200264,0.1087649282170829,0.08146400683916893,5.416199125658065,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,xT,A,"Very strong (p<=0.001, |t|>=3.29)"
zone14_pass_try,874329,-0.01136864397912201,-5.933231891227625,2.970288628331673e-09,-8.901949211433027e-05,-0.014296819023839027,0.9885931774241962,0.00722136181580817,1.1380216546257642,0.2551114402173772,0.0003772542732670692,663991.6573172132,-1327975.3146344265,-1327928.5897863705,200264,0.10876194371779754,0.08146098893470002,5.933231891227625,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,attack,xT,A,"Very strong (p<=0.001, |t|>=3.29)"
break_line_try,874329,-0.02111057814221507,-14.769927791214895,2.2895811881505402e-49,0.008076973347892678,2.244102844977875,0.024825784965990437,0.007100509951396327,1.1221977817770714,0.2617783555940234,0.000921539342962796,664229.7540527063,-1328451.5081054126,-1328404.7832573566,200264,0.10873111979556839,0.08142794291397197,14.769927791214895,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,*,attack,xT,A,"Very strong (p<=0.001, |t|>=3.29)"
shot_blocked_att,874329,0.11524489902050272,2.827726515378037,0.004687983672381068,0.09828099467061091,0.505122905222568,0.6134725144843146,0.007218043422188623,1.1397031828453983,0.25440998069847165,0.00033903621729736155,663974.9437539994,-1327941.8875079989,-1327895.1626599429,200264,0.10876331574689913,0.08146266827298461,2.827726515378037,B) 강하게 유의 (|t|≥2.58 & p≤0.01),**,,attack,xT,B,"Strong (p<=0.01, |t|>=2.58)"
box_pass_suc,874329,0.006936618922005917,2.6316805972514934,0.00849636973132644,0.007651504256457034,0.7228755803170448,0.46975632751962515,0.007165737329412919,1.1378728004758996,0.255173600339323,0.000353197525095883,663981.1367185321,-1327954.2734370641,-1327907.5485890082,200264,0.10875893593879896,0.08145789512875028,2.6316805972514934,B) 강하게 유의 (|t|≥2.58 & p≤0.01),**,,attack,xT,B,"Strong (p<=0.01, |t|>=2.58)"
box_pass_try,874329,0.0003835287704961717,0.2675237286590102,0.7890659469007584,0.009240740900142996,1.2061782027600478,0.2277487865834582,0.007124856459873429,1.1284714598622763,0.25912086343982044,0.00033036825116028457,663971.153158196,-1327934.306316392,-1327887.581468336,200264,0.10876563372019607,0.08146450043082439,0.2675237286590102,D) 유의 아님,,,attack,xT,D,Not significant
break_line_suc,874329,-0.000454088524825475,-0.4926345931417866,0.6222708005439218,0.0005223859679652036,0.17107808761914448,0.86416236540155,0.007210861383228103,1.1468443422619607,0.2514459590885477,0.00032487736013231405,663968.7519488744,-1327929.503897749,-1327882.779049693,200264,0.10876483663390056,0.08146478609256773,0.4926345931417866,D) 유의 아님,,,attack,xT,D,Not significant
shot_saved_att,874329,-0.013543517274999965,-0.7593068796586105,0.44766900307212387,0.021319678239877897,0.284134468868493,0.7763073327084107,0.007226054227316112,1.1394696983371542,0.254507299845114,0.0003251788340721262,663968.883785429,-1327929.767570858,-1327883.042722802,200264,0.10876505781523928,0.08146485404094686,0.7593068796586105,D) 유의 아님,,,attack,xT,D,Not significant
shot_offpost_def,872728,0.3482062210272379,11.448108468919767,2.403325420398522e-30,-0.12104321921860378,-1.2139342945149487,0.22477281575090213,-0.007579486412807726,-0.7277556688042577,0.4667631661239572,0.00039766081940084685,326661.0356898053,-653314.0713796106,-653267.3538627427,199913,0.1683455880776086,0.13487297494548403,11.448108468919767,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
shot_saved_def,872728,0.2311423799848373,9.665381084566606,4.2304247129852782e-22,0.14546651298932084,1.5544251650448728,0.12008303441015158,-0.0076359405777498834,-0.7341349258510681,0.46286650920967687,0.00028215978152823507,326610.61805738637,-653213.2361147727,-653166.5185979048,199913,0.16835737087913213,0.1348755873841445,9.665381084566606,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
def_gap_std,872728,0.006314679271257034,9.22953649906231,2.7180549257228104e-20,0.0024888855103064296,1.1863485492349262,0.23548468128857003,-0.010515901453170115,-0.9138044707385717,0.36081959685012344,0.0011187752704717724,326975.9428580863,-653943.8857161726,-653897.1681993047,199913,0.16827133228486313,0.13478500059884924,9.22953649906231,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
def_linegap_std,872728,0.004910384946457137,8.173564194257807,2.9940993511209095e-16,0.0014892149261765096,0.5519285130525771,0.5809973322517623,-0.008470576789984832,-0.8185498008445244,0.4130433176011503,0.0005798624030433075,326740.58078045666,-653473.1615609133,-653426.4440440454,199913,0.1683412308891894,0.1348548267849231,8.173564194257807,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
shot_blocked_def,872728,0.5134083850862247,7.152203979050115,8.539554443049545e-13,-0.21857228317020566,-1.1803277272325121,0.23786989439348105,-0.007569942033760393,-0.7268705784530309,0.4673052421026246,0.00028758687270136196,326612.9869194246,-653217.9738388492,-653171.2563219813,199913,0.1683496524602889,0.1348701706453499,7.152203979050115,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
def_gap_mean,872728,-0.0015470736773856393,-3.5645933648974175,0.0003644207179697403,0.0009851781424084153,0.8515083669109668,0.3944870175190356,-0.009626828985382125,-0.8816224999420393,0.37798098356795395,0.0002686993377145619,326604.7427860588,-653201.4855721176,-653154.7680552497,199913,0.16837175836220092,0.13489142319961836,3.5645933648974175,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
def_gain_dist,869787,-0.00020482245990660497,-7.432070065028802,1.0691114009135982e-13,-3.386632455420165e-05,-0.44060844544618455,0.6594964876912515,0.007755591969521348,0.7554278648614227,0.449992299183129,0.0008872742044407911,325878.7272258521,-651749.4544517042,-651702.7504371719,199267,0.16826734110183042,0.13478703785457344,7.432070065028802,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
def_suc_pos_line_box,872728,-0.0049766804111293856,-10.202087632923766,1.940557389947172e-24,-0.0010679950514504233,-0.5356962925188239,0.5921684663607027,0.007657047780118829,0.7281117839611296,0.46654516089625797,0.0005227002464976982,326715.6235146964,-653423.2470293927,-653376.5295125248,199913,0.16835348854562915,0.13487174261625537,10.202087632923766,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
def_suc,872728,-0.014358786410355637,-11.458502432459301,2.1316875855300683e-30,-0.010805376382655961,-0.581217313423153,0.5610940003857514,0.009100999010593983,0.6951257324038432,0.4869765098075869,0.0011284472696323489,326980.16811787745,-653952.3362357549,-653905.618718887,199913,0.16833083590684683,0.13485858911487753,11.458502432459301,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
seq_def_num,872728,-0.005299264918072866,-13.033548730672043,7.88531204057876e-39,-0.004608828810919917,-0.6805204280275701,0.4961749915785729,0.008771333299099793,0.7122734936378152,0.47629543447945966,0.0009938385628240898,326921.36732800945,-653834.7346560189,-653788.017139151,199913,0.16836545946846637,0.13489285602724302,13.033548730672043,A) 매우 강하게 유의 (|t|≥3.29 & p≤0.001),***,,defense,hold,A,"Very strong (p<=0.001, |t|>=3.29)"
