metric,coef,se,z,p_value,n_matches,perspective,outcome,target,sig_group,sig_label,train_snr,oos_rmse,oos_mae,mu_train,llf_sum,aic_sum,bic_sum,llf_mean,aic_mean,bic_mean,n_train_matches,abs_z,neglog10_p,group_id,rank_abs_z_in_group
att_miss,9.932270140717475e-07,5.753254224719122e-08,17.263742836259556,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,17.263742836259556,300.0,attack|xT|self,8.0
shot_saved_att,-0.0024124229250538,0.0001464735933356,-16.47001940838664,0.0,472,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,16.47001940838664,300.0,attack|xT|self,9.0
box_pass_suc,0.0020661679491261,0.0002340311019957,8.828604110764633,0.0,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,8.828604110764633,300.0,attack|xT|self,10.0
break_line_try,0.0003823310913584,8.272870139422133e-05,4.621504809274846,3.8096650032404256e-06,474,attack,xT,self,A,"Very strong (p≤0.001, |z|≥3.29)",0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,4.621504809274846,5.41911321163161,attack|xT|self,11.0
zone14_pass_try,0.0001346131521016,0.0001491921620304,0.902280322702878,0.3669079756678965,474,attack,xT,self,D,Not significant,0.0741446978912779,0.1172994070319648,0.0814424565583156,0.0956761312583249,2673588.769125568,-5333921.538251136,-5292794.867305692,5640.482635286009,-11252.99902584628,-11166.233897269392,237,0.902280322702878,0.43544284765830776,attack|xT|self,12.0
shot_offpost_def,-0.0056548150783401,2.885294802903747e-07,-19598.74281355633,0.0,474,defense,hold,opp,A,"Very strong (p≤0.001, |z|≥3.29)",2.227362137486928e-06,0.1693390535473208,0.1353980379427868,0.4778588780670467,2274617.007642342,-4540718.015284684,-4514296.989182835,4798.770058317176,-9579.573871908617,-9523.833310512313,237,19598.74281355633,300.0,defense|hold|opp,1.0
def_gap_std,0.0001920131243573,1.0463000776042289e-07,1835.1630518566087,0.0,474,defense,hold,opp,A,"Very strong (p≤0.001, |z|≥3.29)",2.227362137486928e-06,0.1693390535473208,0.1353980379427868,0.4778588780670467,2274617.007642342,-4540718.015284684,-4514296.989182835,4798.770058317176,-9579.573871908617,-9523.833310512313,237,1835.1630518566087,300.0,defense|hold|opp,2.0
def_gap_mean,6.368004283911429e-07,8.409543998965567e-08,7.572353845457898,3.6637359812630166e-14,474,defense,hold,opp,A,"Very strong (p≤0.001, |z|≥3.29)",2.227362137486928e-06,0.1693390535473208,0.1353980379427868,0.4778588780670467,2274617.007642342,-4540718.015284684,-4514296.989182835,4798.770058317176,-9579.573871908617,-9523.833310512313,237,7.572353845457898,13.436075830313117,defense|hold|opp,3.0
def_linegap_mean,0.0001701333473349,2.654617801489572e-05,6.408958277890726,1.465172427828065e-10,474,defense,hold,opp,A,"Very strong (p≤0.001, |z|≥3.29)",2.227362137486928e-06,0.1693390535473208,0.1353980379427868,0.4778588780670467,2274617.007642342,-4540718.015284684,-4514296.989182835,4798.770058317176,-9579.573871908617,-9523.833310512313,237,6.408958277890726,9.834111262649312,defense|hold|opp,4.0
shot_blocked_def,7.734626883089125e-05,3.346766627247782e-05,2.311074462174169,0.0208287423024922,468,defense,hold,opp,C,"Significant (p≤0.05, |z|≥1.96)",2.227362137486928e-06,0.1693390535473208,0.1353980379427868,0.4778588780670467,2274617.007642342,-4540718.015284684,-4514296.989182835,4798.770058317176,-9579.573871908617,-9523.833310512313,237,2.311074462174169,1.6813369531717013,defense|hold|opp,5.0
